overall,reviewText,summary,documents
5.0,This razor makes my husband face smooth and fabulous. Easy to use and small in sace.,Husband's beautiful face,"['razor', 'make', 'husband', 'face', 'smooth', 'fabulous', 'easy', 'use', 'small', 'sace']"
5.0,"most of the annoyance of owning an electric razor is cleaning it, but this takes the work of cleaning and makes it a simple task.  it oils and cleans the razor all at once.  i love sloth!

:)",works like a charm,"['annoyance', 'own', 'electric', 'razor', 'clean', 'take', 'work', 'clean', 'make', 'simple', 'task', 'oil', 'cleans', 'razor', 'love', 'sloth']"
5.0,Item received in good condition and on time.,Braun CCR2 Syncro Shaver System Clean & Charge Refills (2 Refills),"['item', 'receive', 'good', 'condition', 'time']"
5.0,"These are excellent products, and they are priced at Amazon lower than I can find anywhere else.",Braun Shaver Cleaner Refills,"['excellent', 'product', 'price', 'amazon', 'low', 'find', 'anywhere', 'else']"
5.0,"I purchased these refills along with the Braun Syncro Shaver for my husband.  The refills themselves are decently priced (compared to buying them in a store like Walmart).  My husband only shaves every other day, so the refills do last twice as lone - up to 2 months!",Good Refills for a Great Shaver,"['purchase', 'refill', 'along', 'braun', 'syncro', 'shaver', 'husband', 'refill', 'decently', 'price', 'compare', 'buy', 'store', 'like', 'walmart', 'husband', 'shaves', 'every', 'day', 'refill', 'last', 'twice', 'lone', 'month']"
4.0,"I purchased the Braun CCR2 Syncro Shaver and its cleaning system for my boyfriend.  He is one of the most lazy guys on earth about shaving and NEVER (ok - almost never) cleans his shaver.  With a touch of a button I can go into the bathroom and clean the thing, which helps keep all the hair off the sink and counter.  Although it does smell a bit like alcohol while it is doing its thing, the smell does not last long, and does not linger. I have also tried the shaver on my legs and it works beautifully.  This system is perfect for lazy people, and it does get the shaver much cleaner then running it under water.",Cleans very well - and is easy!  Perfect for a lazy boyfriend!,"['purchase', 'braun', 'ccr', 'syncro', 'shaver', 'clean', 'system', 'boyfriend', 'one', 'lazy', 'guy', 'earth', 'shaving', 'never', 'ok', 'almost', 'never', 'cleans', 'shaver', 'touch', 'button', 'go', 'bathroom', 'clean', 'thing', 'help', 'keep', 'hair', 'sink', 'counter', 'although', 'smell', 'bit', 'like', 'alcohol', 'thing', 'smell', 'last', 'long', 'linger', 'also', 'try', 'shaver', 'leg', 'work', 'beautifully', 'system', 'perfect', 'lazy', 'people', 'get', 'shaver', 'much', 'clean', 'run', 'water']"
5.0,Why go to a shaver store spend time and gas looking for this item when you can get it at Amazon.com for the same or cheaper price delivered to your door!!,Works great and smells nice too!!,"['go', 'shaver', 'store', 'spend', 'time', 'gas', 'look', 'item', 'get', 'cheap', 'price', 'deliver', 'door']"
5.0,Item is necessary in order to keep your shaver operating as new.  Don't shortcut with trying to refill your used containers as some do and the shaver will reward you.,Support accessories for Activator 8000,"['item', 'necessary', 'order', 'keep', 'shaver', 'operate', 'new', 'nt', 'shortcut', 'try', 'refill', 'use', 'container', 'shaver', 'reward']"
5.0,This refill arrived very quickly and exactly as expected.  I plan to purchase my refills this way again.,Simple Fast and Competitively Priced,"['refill', 'arrive', 'quickly', 'exactly', 'expect', 'plan', 'purchase', 'refill', 'way']"
1.0,You say this was shipped but I have never received this item. How can this be corrected?,NEVER Received,"['say', 'ship', 'never', 'receive', 'item', 'correct']"
4.0,"I make the cleaner last longer by removing and re-capping it.  I only clean when I charge the battery, about once every 1 - 2 weeks.",Re-cap the fluid,"['make', 'clean', 'last', 'long', 'remove', 'recap', 'clean', 'charge', 'battery', 'every', 'week']"
5.0,"I have used the Braun CCR2 Syncro Shaver System for about 6 motnhs and they are just great. They totally take away the hassle of having to fix and clean your shaver and they do a great job at it. I just pop in my shaver in its socket every morning and let it do its job, and it is always perfect. Sure, it is a bit pricey, but worth the money if you value your time.",Great Product,"['use', 'braun', 'ccr', 'syncro', 'shaver', 'system', 'motnhs', 'great', 'totally', 'take', 'away', 'hassle', 'fix', 'clean', 'shaver', 'great', 'job', 'pop', 'shaver', 'socket', 'every', 'morning', 'let', 'job', 'always', 'perfect', 'sure', 'bit', 'pricey', 'worth', 'money', 'value', 'time']"
4.0,They're good... but they evaporate kinda fast. Shaving with a clean razor everyday spoils you... (you get used to is fast),"if you buy the razor, better stock up on these","['good', 'evaporate', 'kinda', 'fast', 'shaving', 'clean', 'razor', 'everyday', 'spoil', 'get', 'use', 'fast']"
5.0,"3 years,  bought a second shaver and alternate them when they

run out of juice, to prolong the battery life.

just pay for the cleaners, and use them.

my wife no longer complains about hair in the sink.",it works,"['year', 'buy', 'second', 'shaver', 'alternate', 'run', 'juice', 'prolong', 'battery', 'life', 'pay', 'cleaner', 'use', 'wife', 'long', 'complain', 'hair', 'sink']"
5.0,It was great being able to go to Amazon and find exactly what I needed and order it.  We weren't able to find the refills in the store and this was so easy and fast.  We will definately order this again.,Great Service,"['great', 'able', 'go', 'amazon', 'find', 'exactly', 'need', 'order', 'nt', 'able', 'find', 'refill', 'store', 'easy', 'fast', 'definately', 'order']"
5.0,The best thing about the CCR2 clean & charge refills isn't the product itself but the product that it's used with. The Braun Synchro shaver is a wonderful product that I've been using for over 3 years. The refills are a small price to pay for the convenience of not having to open up your shaver every day to clean out the hairs.,No more manual shaver cleaning!,"['good', 'thing', 'ccr', 'clean', 'charge', 'refill', 'nt', 'product', 'product', 'use', 'braun', 'synchro', 'shaver', 'wonderful', 'product', 'use', 'year', 'refill', 'small', 'price', 'pay', 'convenience', 'open', 'shaver', 'every', 'day', 'clean', 'hair']"
5.0,"It was here in 1 day (i paid for 5 day delivery)....as is...satisfied to the fullest.

cheap as can be too",Quick Delivery...,"['day', 'pay', 'day', 'delivery', 'satisfied', 'full', 'cheap']"
4.0,"Well I've had my 8595 for over 3 weeks now and it looks like the solution is getting pretty dirty.  If you read my review on the 8595 you'll see I'm only cleaning it once a week and doing the reseal-the-cleaner-with-plug trick.

The solution is not evaporating as I expected, but even with all the wiskers trapped in the filter, the solution itself is getting darker.  I was hoping it would last longer, but it appears the only way to do that is to manually clean out the head before you drop it into the charger for auto-cleaning.

So I've given in, I just bought Qty 3 of this item... good enough for 6 months. As someone else commented earlier, you'll basically wind up spending $60 a year using one refill per month.  That boils down to $5/month.  You have to decide if $5/month is worth your time and effort to clean your shaver (even once a week) plus knowing that the cleaning solution has removed the oil and bacteria off the head and foil to minimize infection or in-grown wiskers.

Given the cost of gasoline and food nowadays, $5/month isn't too bad to me.  BUT the refills are not eco-friendly.  If Braun would get smart and sell a refill kit which came with a quart or two of solution and replacement filters, I'd buy that.  At least you could reuse the container over and over.  Just toss out the dirty filter and solution when it's time.

I read up on all the alcohol, lemon extract, silicon oil refill tricks, but they don't address the filter problem unless you backwash the container.  It was at that point I realized the time to rejuvenate the refill would equal the time I'd spend just to manually cleaning the head.

BTW, it looks like Amazon has fixed the shipping problem someone noted earlier.  Each of these items can be shipped for 50 cents.  So if you ship Qty 3, it's $1.50 for shipping, Qty 6 is $3.00, etc.  So my hats off to Amazon for reading the comments here and making the shipping reasonable.  I did my order on Amazon because it looks like on eBay, you only save about $2-$3 (depending on quantity) and some auctions claim their refills are old outdated stock.  Probably nothing wrong with that since they are sealed, but for $2, I'll just buy here to get the fresh stock.","Does the job, just not eco-friendly; Amazon improved shipping costs","['well', 'week', 'look', 'like', 'solution', 'get', 'pretty', 'dirty', 'read', 'review', 'see', 'clean', 'week', 'resealthecleanerwithplug', 'trick', 'solution', 'evaporate', 'expect', 'even', 'wisker', 'trap', 'filter', 'solution', 'get', 'darker', 'hope', 'would', 'last', 'long', 'appear', 'way', 'manually', 'clean', 'head', 'drop', 'charger', 'autocleane', 'give', 'buy', 'qty', 'item', 'good', 'enough', 'month', 'someone', 'else', 'comment', 'early', 'basically', 'wind', 'spending', 'year', 'use', 'one', 'refill', 'per', 'month', 'boils', 'month', 'decide', 'month', 'worth', 'time', 'effort', 'clean', 'shaver', 'even', 'week', 'plus', 'know', 'clean', 'solution', 'remove', 'oil', 'bacteria', 'head', 'foil', 'minimize', 'infection', 'ingrown', 'wisker', 'give', 'cost', 'gasoline', 'food', 'nowadays', 'month', 'nt', 'bad', 'refill', 'ecofriendly', 'braun', 'would', 'get', 'smart', 'sell', 'refill', 'kit', 'come', 'quart', 'two', 'solution', 'replacement', 'filter', 'buy', 'least', 'could', 'reuse', 'container', 'toss', 'dirty', 'filter', 'solution', 'time', 'read', 'alcohol', 'lemon', 'extract', 'silicon', 'oil', 'refill', 'trick', 'nt', 'address', 'filter', 'problem', 'unless', 'backwash', 'container', 'point', 'realize', 'time', 'rejuvenate', 'refill', 'would', 'equal', 'time', 'spend', 'manually', 'clean', 'head', 'btw', 'look', 'like', 'amazon', 'fix', 'shipping', 'problem', 'someone', 'note', 'early', 'item', 'ship', 'cent', 'ship', 'qty', 'shipping', 'qty', 'etc', 'hat', 'amazon', 'read', 'comment', 'make', 'shipping', 'reasonable', 'order', 'amazon', 'look', 'like', 'ebay', 'save', 'depend', 'quantity', 'auction', 'claim', 'refill', 'old', 'outdated', 'stock', 'probably', 'nothing', 'wrong', 'since', 'seal', 'buy', 'get', 'fresh', 'stock']"
5.0,"Before I switched to the Activator, used to bathe my Braun foil and cutter in alcohol after every use.  It's amazing how much bacteria-attracting goop can collect in an electric razor, even if you brush it clean daily.  Cleaning daily with alcohol helped clear up my skin, but was time-consuming.

Using the clean & shave system saves me time, but costs more.  I found that the first cartridge I used lasted nearly 60 days even with everyday cleaning.  After 45 days or so, the fluid started to darken and by about 60 days, it was too full of debris to continue to use in good conscience.  I now change every 30 days, even if there is fluid remaining.",Works as Advertised,"['switch', 'activator', 'use', 'bathe', 'braun', 'foil', 'cutter', 'alcohol', 'every', 'use', 'amazing', 'much', 'bacteriaattracte', 'goop', 'collect', 'electric', 'razor', 'even', 'brush', 'clean', 'daily', 'clean', 'daily', 'alcohol', 'help', 'clear', 'skin', 'timeconsuming', 'use', 'clean', 'shave', 'system', 'save', 'time', 'cost', 'find', 'first', 'cartridge', 'use', 'last', 'nearly', 'day', 'even', 'everyday', 'clean', 'day', 'fluid', 'start', 'darken', 'day', 'full', 'debris', 'continue', 'use', 'good', 'conscience', 'change', 'every', 'day', 'even', 'fluid', 'remain']"
1.0,"I just placed an order for these as part of a larger order.  When I looked at my shopping cart I saw that not only does this item not qualify for SuperSaver shipping, but it is back ordered into April (over a month), and the shipping charges are over $11.00 on a $7.99 item.  At almost $19.00 and a months wait, no thank you.",Be careful of shipping charges,"['place', 'order', 'part', 'large', 'order', 'look', 'shopping', 'cart', 'see', 'item', 'qualify', 'supersaver', 'shipping', 'back', 'order', 'april', 'month', 'shipping', 'charge', 'item', 'almost', 'month', 'wait', 'thank']"
5.0,"This is cleaning solution for the Braun 7000 series.

Since I only clean the shaver only two or three times a month, the solution that came with the shaver lasted one year.  You do not have to clean the shaver after every use as long as you take the head off and blow the stubble off...that is what I do.

The solution was easy to install, has a nice odor, and does a good job cleaning the shaver.

However, word of caution, do not take the shaver out of the base before the cleaning process is done or you will have a wet, dripping mess.  You will have to wipe off the shaver and the counter before you shave.",Great solution,"['clean', 'solution', 'braun', 'series', 'since', 'clean', 'shaver', 'two', 'three', 'time', 'month', 'solution', 'come', 'shaver', 'last', 'one', 'year', 'clean', 'shaver', 'every', 'use', 'long', 'take', 'head', 'blow', 'stubble', 'solution', 'easy', 'install', 'nice', 'odor', 'good', 'job', 'clean', 'shaver', 'however', 'word', 'caution', 'take', 'shaver', 'base', 'clean', 'process', 'do', 'wet', 'drip', 'mess', 'wipe', 'shaver', 'counter', 'shave']"
4.0,"I have had my Syncro Shaver System for about a year now and love it.  Like all the rest these refills are a bit pricey.  I stretch them by not cleaning eveyday and I refill ea cartridge 2x before replaceing.  I have found that the green rubbing alcohol works great!  It contains oils and a fragrance.

4 stars because of cost and Braun's locking out aftermarket suppliers (jeeze do they think they are HP!)",Love this system!,"['syncro', 'shaver', 'system', 'year', 'love', 'like', 'rest', 'refill', 'bit', 'pricey', 'stretch', 'clean', 'eveyday', 'refill', 'ea', 'cartridge', 'x', 'replace', 'find', 'green', 'rub', 'alcohol', 'work', 'great', 'contain', 'oil', 'fragrance', 'star', 'cost', 'braun', 'lock', 'aftermarket', 'supplier', 'jeeze', 'think', 'hp']"
4.0,"I typically use the cleaning solution twice a week; once on a Monday after a 'heavy shave' (I can't be bothered shaving at the weekend!) and once at the end of the week.  Anything more than that is unecessary, I find.

But when you do use it - oooh that next shave feels so good and smells fresh.  It's like using a new shaver.  So why don't I use it every day?  I don't think its worth the money - these things aren't cheap and, rather disappointingly, I'm not a millionaire, so having the 'new shaver' feel every day isn't justified.

And another tip: if you can be bothered, you can remove the solution after each use and re-plug it to avoid evaporation of the solution - which makes it last even longer.  But that's all a bit too much effort for me...!

So, Braun - stop charging so much for a simple alcohol solution and design the cleaner to automatically 'plug' the solution when its not in use to prevent evaporation, and you'll earn that last star!

Happy shopping

JB",shave like new all the time - for a price!,"['typically', 'use', 'clean', 'solution', 'twice', 'week', 'monday', 'heavy', 'shave', 'ca', 'nt', 'bother', 'shaving', 'weekend', 'end', 'week', 'anything', 'unecessary', 'find', 'use', 'oooh', 'next', 'shave', 'feel', 'good', 'smell', 'fresh', 'like', 'use', 'new', 'shaver', 'nt', 'use', 'every', 'day', 'nt', 'think', 'worth', 'money', 'thing', 'nt', 'cheap', 'rather', 'disappointingly', 'millionaire', 'new', 'shaver', 'feel', 'every', 'day', 'nt', 'justified', 'another', 'tip', 'bother', 'remove', 'solution', 'use', 'replug', 'avoid', 'evaporation', 'solution', 'make', 'last', 'even', 'long', 'bit', 'much', 'effort', 'braun', 'stop', 'charge', 'much', 'simple', 'alcohol', 'solution', 'design', 'clean', 'automatically', 'plug', 'solution', 'use', 'prevent', 'evaporation', 'earn', 'last', 'star', 'happy', 'shopping', 'jb']"
5.0,"I've owned a Braun Syncro for about a year and a half now.  It's the closest shave I've ever had without cutting myself, and that includes the new triple blades.  But those refills are pricey.  Another Amazon review gave me a clue as to how to make each cartridge last six months.  Here's how:  Clean your razor once a week instead of every day.  Between cleans, remove the cartridge from the cleaning machine and reseal the cartridge with the original plastic tab.  No more evaporation problem.  I've been very happy with the results.",Here's how to make a refill last six months,"['own', 'braun', 'syncro', 'year', 'half', 'close', 'shave', 'ever', 'without', 'cut', 'include', 'new', 'triple', 'blade', 'refill', 'pricey', 'another', 'amazon', 'review', 'give', 'clue', 'make', 'cartridge', 'last', 'six', 'month', 'clean', 'razor', 'week', 'instead', 'every', 'day', 'cleans', 'remove', 'cartridge', 'clean', 'machine', 'reseal', 'cartridge', 'original', 'plastic', 'tab', 'evaporation', 'problem', 'happy', 'result']"
5.0,"I have read the reviews of these replacement cartridges for a razor that, in my opinion, shaves better than a blade and the biggest gripe seemed to be the cost.  Yes, seemingly a bit pricey but, after shaving with a Mach 3 Turbo prior to this, I am certain that I spent much more in a year on blades.  This razor can be used without the ""clean and charge"" system but everyone seems to love that feature and wouldn't want to give it up.  I always shaved with a blade after trying a number of electric razors; however, after being placed on the drug Coumadin, I had to go to an electric razor.  I won't go back.  Five bucks a month for a cartridge beats at least 10 dollars a month in blades and it is much quicker and more effective.  If the cost of the razor didn't prohibt a customer from purchasing it, why complain about 5 bucks a month.  You can still clean it with the brush if you like...",Well worth it..,"['read', 'review', 'replacement', 'cartridge', 'razor', 'opinion', 'shaves', 'well', 'blade', 'big', 'gripe', 'seem', 'cost', 'yes', 'seemingly', 'bit', 'pricey', 'shaving', 'mach', 'turbo', 'prior', 'certain', 'spend', 'much', 'year', 'blade', 'razor', 'use', 'without', 'clean', 'charge', 'system', 'everyone', 'seem', 'love', 'feature', 'would', 'nt', 'want', 'give', 'always', 'shave', 'blade', 'try', 'number', 'electric', 'razor', 'however', 'place', 'drug', 'coumadin', 'go', 'electric', 'razor', 'wo', 'nt', 'go', 'back', 'five', 'buck', 'month', 'cartridge', 'beat', 'least', 'dollar', 'month', 'blade', 'much', 'quick', 'effective', 'cost', 'razor', 'nt', 'prohibt', 'customer', 'purchase', 'complain', 'buck', 'month', 'still', 'clean', 'brush', 'like']"
4.0,"You don't HAVE to use the cleaning function of the Braun.  You can use it like any other shaver and clean it with a brush.  But if you don't mind paying ~$60/year on these refills, then the cleaning system works great.  I hope eventually someone decides to make generic versions of the refills or sells the fluid only so we can refill them (like they do with inkjet printer cartridges).  I would NOT take the advice of the guy who recommended using alcohol and lemon juice as a refilling liquid.  Lemon has sugar (and other impurities) in it, and alcohol doesn't have lubricating agents and may strip the lubricating that the blades need.

Cleaning every other day may seem like a money-saving idea, but I have found that even if you don't use it for weeks, the cleaning fluid still evaporates and you have to replace it almost as frequently, so I figure I might as well get the benefit of cleaning rather than let the stuff just evaporate away.

I hope Amazon starts selling these things directly since buying it from J&R is not a good deal because of the shipping charges.  Instead, go to Walgreens or some other store that sells the shaver system, and buy it there.  BestBuy.com sells it for the same price with free shipping.  J&R's prices are regular street prices (not 50% off).",Works great but pricey,"['nt', 'use', 'clean', 'function', 'braun', 'use', 'like', 'shaver', 'clean', 'brush', 'nt', 'mind', 'pay', 'year', 'refill', 'clean', 'system', 'work', 'great', 'hope', 'eventually', 'someone', 'decide', 'make', 'generic', 'version', 'refill', 'sells', 'fluid', 'refill', 'like', 'inkjet', 'printer', 'cartridge', 'would', 'take', 'advice', 'guy', 'mended', 'use', 'alcohol', 'lemon', 'juice', 'refill', 'liquid', 'lemon', 'sugar', 'impurity', 'alcohol', 'nt', 'lubricate', 'agent', 'may', 'strip', 'lubricate', 'blade', 'need', 'clean', 'every', 'day', 'may', 'seem', 'like', 'moneysaving', 'idea', 'find', 'even', 'nt', 'use', 'week', 'clean', 'fluid', 'still', 'evaporate', 'replace', 'almost', 'frequently', 'figure', 'may', 'well', 'get', 'benefit', 'clean', 'rather', 'let', 'stuff', 'evaporate', 'away', 'hope', 'amazon', 'start', 'sell', 'thing', 'directly', 'since', 'buy', 'j', 'r', 'good', 'deal', 'shipping', 'charge', 'instead', 'go', 'walgreen', 'store', 'sells', 'shaver', 'system', 'buy', 'sells', 'price', 'free', 'shipping', 'j', 'r', 'price', 'regular', 'street', 'price']"
1.0,"Friday afternoon before my overseas vacation and my tooth broke. Of course there were no available dentist so I thought that this product would help fix my tooth until I got home.  I Don't waste your money or your time buying this product as it does not do what it claims.  I tried it to fix my broken molar.  The first time, the repair lasted 20 minutes, then fell off.  So I tried it again and wore my mouth guard to make sure that I did not bite down on the repaired tooth.  That fix lasted 3 hours.  Not enough time to get in to a dentist for a real repair.  $5 bucks down the drain.  I'll keep using it until it's gone, but I won't buy it again.",Snake oil for your teeth,"['friday', 'afternoon', 'overseas', 'vacation', 'tooth', 'broke', 'course', 'available', 'dentist', 'think', 'product', 'would', 'help', 'fix', 'tooth', 'get', 'home', 'nt', 'waste', 'money', 'time', 'buy', 'product', 'claim', 'try', 'fix', 'break', 'molar', 'first', 'time', 'repair', 'last', 'minute', 'fall', 'try', 'wear', 'mouth', 'guard', 'make', 'sure', 'bite', 'repair', 'tooth', 'fix', 'last', 'hour', 'enough', 'time', 'get', 'dentist', 'real', 'repair', 'buck', 'drain', 'keep', 'use', 'go', 'wo', 'nt', 'buy']"
1.0,The stuff crumbles and falls out within a very short time.  You might have better luck using softened paraffin.  What a colossal waste of money.,Useless,"['stuff', 'crumbles', 'falls', 'within', 'short', 'time', 'may', 'well', 'luck', 'use', 'soften', 'paraffin', 'colossal', 'waste', 'money']"
1.0,"I was very excited to try it, but it was nice using nothing at all.  Doesnt hold anything, I could have used gum and it would hold my cap better.  Don't waste your time going to the store to purchase this product, its a waste of money.  I wouldn't even give it a 1/2 of star.",Not worth it.,"['excited', 'try', 'nice', 'use', 'nothing', 'do', 'hold', 'anything', 'could', 'use', 'gum', 'would', 'hold', 'cap', 'well', 'nt', 'waste', 'time', 'go', 'store', 'purchase', 'product', 'waste', 'money', 'would', 'nt', 'even', 'give', 'star']"
1.0,"I lost a temporary crown and thought this product might spare me the extra trip to the dentist. I would have been better off chewing up the five dollars and using that to hold the crown in place. This product, and it's competition, Dentek Temparin, are completely useless.",Garbage,"['lose', 'temporary', 'crown', 'think', 'product', 'may', 'spare', 'extra', 'trip', 'dentist', 'would', 'well', 'chew', 'five', 'dollar', 'use', 'hold', 'crown', 'place', 'product', 'competition', 'dentek', 'temparin', 'completely', 'useless']"
1.0,"Bought this at walgreens, as I had a crown fall out earlier in the day. My dentist is out of town for a week, so I tried this product.  What a waste of time and money! I followed the instructions to the letter. Tried 3 times. The first time, it lasted about an hour, the 2nd time I slept with it, and woke up in the morning to find the crown on my pillow.  The 3rd time, I was very very careful and it lasted from the morning until lunch, when it promptly fell out when I started chewing. I even chewed on the opposite side of the mouth, but I guess all the jaw movement shook the crown loose.  This stuff holds about as well as vaseline.",A Waste of Money,"['buy', 'walgreen', 'crown', 'fall', 'early', 'day', 'dentist', 'town', 'week', 'try', 'product', 'waste', 'time', 'money', 'follow', 'instruction', 'letter', 'try', 'time', 'first', 'time', 'last', 'hour', 'nd', 'time', 'slept', 'wake', 'morning', 'find', 'crown', 'pillow', 'rd', 'time', 'careful', 'last', 'morning', 'lunch', 'promptly', 'fall', 'start', 'chew', 'even', 'chew', 'opposite', 'side', 'mouth', 'guess', 'jaw', 'movement', 'shake', 'crown', 'loose', 'stuff', 'hold', 'well', 'vaseline']"
1.0,"This product has replaced all other fix products at all of my pharmacies. Sad. This is a thick paste that you do not mix and it is not very strong. It is about the consistancy of modeling clay and, in my opinion, about as ineffective.

If you use this, expect to watch your repair VERY carefully as it will not last - certainly, for a crown, you can lose it very easily if you eat anything with the repair.

A very poor product.",VERY temporary,"['product', 'replace', 'fix', 'product', 'pharmacy', 'sad', 'thick', 'paste', 'mix', 'strong', 'consistancy', 'model', 'clay', 'opinion', 'ineffective', 'use', 'expect', 'watch', 'repair', 'carefully', 'last', 'certainly', 'crown', 'lose', 'easily', 'eat', 'anything', 'repair', 'poor', 'product']"
5.0,"Works great for repairing teeth.  Easy to use, no mixing, just apply.  Would like it to be more of a natural tooth color.  It's very white.",dentemp o.s.,"['work', 'great', 'repair', 'teeth', 'easy', 'use', 'mix', 'apply', 'would', 'like', 'natural', 'tooth', 'color', 'white']"
5.0,"I have used this product for 10 years now. As for temporary dental material the Dentemp line is superior. Other similar products don't hold up well and for very long, they crumble. I prefer to apply at night and allow it to cure while I sleep for best results but it isn't necessary. If you need something like this for filling holes in you teeth or to re-affix dental work, you can't buy higher quality over-the counter. This truly is dentist quality material. It contains enough for 3 to 5 applications in one container.",The best you can buy ! Bar none!!!,"['use', 'product', 'year', 'temporary', 'dental', 'material', 'dentemp', 'line', 'superior', 'similar', 'product', 'nt', 'hold', 'well', 'long', 'crumble', 'prefer', 'apply', 'night', 'allow', 'cure', 'sleep', 'good', 'result', 'nt', 'necessary', 'need', 'something', 'like', 'fill', 'hole', 'teeth', 'reaffix', 'dental', 'work', 'ca', 'nt', 'buy', 'high', 'quality', 'overthe', 'counter', 'truly', 'dentist', 'quality', 'material', 'contain', 'enough', 'application', 'one', 'container']"
1.0,It lasted about hour and then fell out,One Star,"['last', 'hour', 'fall']"
3.0,"Not that hard to apply.  It sticks on quite well..  I wouldn't expect it to last long though.  I usually have to reapply it within a week or 2 at the most.  Its harder to get it to stick to upper teeth.  Also, the filling material is much softer than I feel like it should be.",very temporary fix..,"['hard', 'apply', 'stick', 'quite', 'well', 'would', 'nt', 'expect', 'last', 'long', 'though', 'usually', 'reapply', 'within', 'week', 'hard', 'get', 'stick', 'upper', 'teeth', 'also', 'fill', 'material', 'much', 'soft', 'feel', 'like']"
3.0,Didn't work for me.,Three Stars,"['nt', 'work']"
1.0,"I finally figured out how to use this product: mess around with it until 5am, until you're so frustrated that you don't care about the missing filling anymore. Seriously, there is no use for this product than to steal your money, and frustrate the hell out of you.",Rip. off.,"['finally', 'figure', 'use', 'product', 'mess', 'around', 'frustrated', 'nt', 'care', 'miss', 'fill', 'anymore', 'seriously', 'use', 'product', 'steal', 'money', 'frustrate', 'hell']"
1.0,"I've recently lost a filling and was looking for a temporary solution until I can see my dentist next week.  This product was the only one of it's kind on the shelf at my local drug store.  I followed the instructions and the temporary filling fell out within minutes three different times. I finally just threw it away, since pushing the solution into my cavity was uncomfortable and pointless if it was going to fall out almost immediately. Don't waste your money.",Worthless,"['recently', 'lose', 'fill', 'look', 'temporary', 'solution', 'see', 'dentist', 'next', 'week', 'product', 'one', 'kind', 'shelf', 'local', 'drug', 'store', 'follow', 'instruction', 'temporary', 'fill', 'fall', 'within', 'minute', 'three', 'different', 'time', 'finally', 'throw', 'away', 'since', 'push', 'solution', 'cavity', 'fortable', 'pointless', 'go', 'fall', 'almost', 'immediately', 'nt', 'waste', 'money']"
1.0,"Don't bother with this garbage!  It sounds promising until  you realize IT NEVER DRIES OR HARDENS!!!!

I put some on a piece of paper to see how long it took to set up.  Well... it NEVER DID!

I think the makers of this should be sued and made to refund everyones money PLUS fork out for pain & suffering!  It's a shame that someone is making money from others PAIN and selling something that doesn't even work!

I hope all the people connected to this product get incurable toothaches!  See how they like it.  Make them use this junk.",WASTE OF TIME AND MONEY!,"['nt', 'bother', 'garbage', 'sound', 'promise', 'realize', 'never', 'dry', 'hardens', 'put', 'piece', 'paper', 'see', 'long', 'take', 'set', 'well', 'never', 'think', 'maker', 'sued', 'make', 'refund', 'everyone', 'money', 'plus', 'fork', 'pain', 'suffering', 'shame', 'someone', 'make', 'money', 'other', 'pain', 'sell', 'something', 'nt', 'even', 'work', 'hope', 'people', 'connect', 'product', 'get', 'incurable', 'toothache', 'see', 'like', 'make', 'use', 'junk']"
1.0,"Awful! This is a terrible product. Did not work, dry and sadly those who would order need it. Remove from your stock.",Dent temp,"['awful', 'terrible', 'product', 'work', 'dry', 'sadly', 'would', 'order', 'need', 'remove', 'stock']"
1.0,"It is useless for a long lasting cap.  If you are immediately going to go to the dentist, then this item will work I suppose.  However, if you are looking for something to put in your ""survival"" pack to aide you in emergency dental, then good luck.  Sorry, but other products are much better than this one.","Is this Cap, or Crap?","['useless', 'long', 'last', 'cap', 'immediately', 'go', 'go', 'dentist', 'item', 'work', 'suppose', 'however', 'look', 'something', 'put', 'survival', 'pack', 'aide', 'emergency', 'dental', 'good', 'luck', 'sorry', 'product', 'much', 'well', 'one']"
5.0,I was very pleased with this product I threw it in the BOB and you never know when you might need something like this item. Thanks Amazon for the selection and good prices.,temp filling kit,"['pleased', 'product', 'throw', 'bob', 'never', 'know', 'may', 'need', 'something', 'like', 'item', 'thanks', 'amazon', 'selection', 'good', 'price']"
